name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Mood
Scenic Drive (feat. Ari Lennox & Smino),Scenic Drive (The Tape),Khalid,6zIen2DYr2t19vbwqgORY2,2021-12-03,59,249773,0.367,0.0258,0.552,0.000217,0.154,0.0778,-9.109,0.0504,93.467,7,5,calm
Risk,Risk,FKJ,2QDFsehUg5Fui2LOVpCw3Q,2019-11-05,52,238834,0.761,0.957,0.359,0.000143,0.147,0.505,-12.326,0.0703,103.069,7,4,calm
Outlook,Outlook,antdeq,1AoXH6lbkuoeEp4oXiPEEN,2022-10-07,6,201485,0.716,0.319,0.593,0.0,0.109,0.641,-11.026,0.242,162.001,10,4,calm
Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,4RVbK6cV0VqWdpCDcx3hiT,2018-06-08,67,324674,0.585,0.339,0.597,0.0404,0.195,0.227,-7.499,0.037,100.051,0,4,calm
Tequila Shots,Man On The Moon III: The Chosen,Kid Cudi,30KctD1WsHKTIYczXjip5a,2020-12-11,68,193293,0.712,0.084,0.556,5.04e-05,0.527,0.22,-7.214,0.0531,90.494,5,4,calm
Save Me (feat. Elliott Trent),Optimal Music,Nieman J,1VkFnfVFjd6qiyf51jrar4,2020-04-24,21,179679,0.544,0.414,0.52,0.0,0.121,0.473,-7.48,0.231,93.481,10,4,calm
Little Lies,Analogue,ODIE,6QpZXzHcOgXK41Y3YCx203,2018-04-06,62,220007,0.342,0.592,0.294,0.674,0.0944,0.132,-15.989,0.0426,84.014,2,4,calm
Z4L (with Bari & Jay2),NOIR,Smino,3X6YJcqTinaNraRvojF62K,2018-11-08,62,162590,0.822,0.0779,0.503,0.0,0.161,0.408,-6.889,0.285,71.524,11,4,calm
Deja Vu,4 Your Eyez Only,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,2016-12-09,69,264746,0.657,0.352,0.421,0.000218,0.187,0.181,-11.378,0.412,174.063,9,4,calm
Who Hurt You?,Who Hurt You?,Daniel Caesar,23c9gmiiv7RCu7twft0Mym,2018-10-16,65,231964,0.649,0.586,0.493,0.000167,0.0667,0.277,-7.645,0.11,104.542,11,4,calm
