name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Mood
Uptown Funk (feat. Bruno Mars),Uptown Funk (feat. Bruno Mars),Mark Ronson,4rmPQGwcLQjCoFq5NrTA0D,2014-11-24,22,270626,0.853,0.00966,0.681,5.71e-05,0.0233,0.93,-5.003,0.0888,114.989,0,4,happy
Hooked On A Feeling,Hooked On A Feeling,Blue Swede,6Ac4NVYYl2U73QiTt11ZKd,1973-04-01,69,172866,0.547,0.261,0.82,0.0,0.3,0.933,-6.728,0.0805,118.208,8,4,happy
Music For a Sushi Restaurant,Harry's House,Harry Styles,5LYMamLv12UPbemOaTPyeV,2022-05-20,80,193813,0.72,0.258,0.715,0.0568,0.107,0.357,-4.652,0.04,107.041,11,4,happy
A-Punk,Vampire Weekend,Vampire Weekend,5dKBaysNJtfpyNTRa5lqDb,2008-01-27,0,137760,0.551,0.0102,0.821,0.0438,0.153,0.842,-4.489,0.0539,174.923,2,4,happy
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,2020-03-27,81,203064,0.702,0.00883,0.825,0.0,0.0674,0.915,-3.787,0.0601,102.977,6,4,happy
Hey Ya!,The Way You Move / Hey Ya!,Outkast,3AszgPDZd9q0DpDFt4HFBy,2003,59,239240,0.715,0.0644,0.97,0.000156,0.205,0.963,-2.206,0.0648,79.504,0,4,happy
Made You Look,Takin' It Back,Meghan Trainor,0QHEIqNKsMoOY5urbzN48u,2022-10-21,89,134256,0.838,0.345,0.525,1.92e-06,0.0771,0.884,-3.562,0.0665,144.981,10,4,happy
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,1985,76,238733,0.596,0.0116,0.869,0.173,0.0678,0.944,-11.97,0.037,109.902,10,4,happy
THATS WHAT I WANT,MONTERO,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,2021-09-17,80,143901,0.737,0.00614,0.846,0.0,0.0486,0.546,-4.51,0.22,87.981,1,4,happy
Twist And Shout - Remastered,Please Please Me (Remastered),The Beatles,4Z1fbYp0HuxLBje4MOZcSD,1963-03-22,1,155226,0.482,0.641,0.849,7.74e-06,0.0414,0.937,-9.198,0.0452,124.631,2,4,happy
Girlfriends,Girlfriends,High Tropics,0gsY8KBi8CuXePHxBjpysJ,2023-02-24,25,235171,0.373,0.00151,0.847,0.0108,0.11,0.538,-4.88,0.0462,140.03,4,4,happy
Lisztomania,Wolfgang Amadeus Phoenix,Phoenix,7zkDEBSxkcBVsStS4qBFpK,2009,61,241546,0.635,0.0349,0.786,0.00767,0.497,0.305,-6.46,0.0377,97.54,0,4,happy
Sunroof,Sunroof,Nicky Youre,4h4QlmocP3IuwYEj2j14p8,2021-12-03,84,163025,0.768,0.352,0.714,0.0,0.15,0.842,-5.11,0.0401,131.443,10,4,happy
Don't Stop Me Now,Jazz,Queen,2RknY4IqSPwagR0v5wchIW,1978-11-10,0,209447,0.566,0.0175,0.876,0.0114,0.677,0.642,-4.6,0.187,156.291,0,4,happy
Riptide,Dream Your Life Away (Special Edition),Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,2014-09-09,77,204280,0.484,0.431,0.731,0.0,0.151,0.51,-6.694,0.0379,101.654,1,4,happy
Video Killed The Radio Star,I Am Happy,Various Artists,6VwkgtOIlVboseFPCFnyJ2,2010-01-01,0,251533,0.679,0.139,0.79,0.00669,0.165,0.369,-6.934,0.059,131.177,1,4,happy
Kiss Me More (feat. SZA),Planet Her,Doja Cat,3DarAbFujv6eYNliUTyqtz,2021-06-25,78,208666,0.764,0.259,0.705,8.92e-05,0.12,0.781,-3.463,0.0284,110.97,8,4,happy
Mr. Brightside,Hot Fuss,The Killers,0eGsygTp906u18L0Oimnem,2004-06-15,0,222075,0.351,0.00113,0.928,0.0,0.0988,0.239,-3.71,0.0759,148.03,1,4,happy
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,2016-05-06,75,236001,0.666,0.0123,0.83,0.0,0.191,0.702,-5.715,0.0751,113.03,0,4,happy
Wake Me Up Before You Go-Go,80s 100 Hits,Various Artists,6ZEAXknmx2mrO3KgcDNpFI,2010-02-26,50,223066,0.586,0.144,0.651,0.0,0.489,0.901,-10.16,0.048,81.397,0,4,happy
A-O-K,TV,Tai Verdes,51PSUD2YHjPyAy3jnkaoy7,2021-05-20,0,173640,0.731,0.125,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488,11,4,happy
Should I Stay or Should I Go - Remastered,Hits Back,The Clash,3v8PlUFGQQDBIk1J86waCo,2013-08-26,59,188240,0.742,0.0832,0.838,0.0,0.418,0.848,-6.442,0.11,113.373,2,4,happy
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2Foc5Q5nqNiosCNqttzHof,2013-04-19,78,248413,0.794,0.0426,0.811,1.07e-06,0.101,0.862,-8.966,0.038,116.047,6,4,happy
Beggin',Chosen,Måneskin,3Wrjm47oTz2sjIgck11l5e,2017-12-08,82,211560,0.714,0.127,0.8,0.0,0.359,0.589,-4.808,0.0504,134.002,11,4,happy
Lush Life,So Good,Zara Larsson,1rIKgCH4H52lrvDcz50hS8,2017-03-17,75,201122,0.694,0.132,0.712,0.0,0.211,0.799,-3.923,0.046,98.023,7,4,happy
You Can't Always Get What You Want,Let It Bleed,The Rolling Stones,6lFZbCc7pn6Lme1NP7qQqQ,1969-12-05,64,448720,0.32,0.64,0.62,6.36e-05,0.253,0.472,-9.686,0.0594,86.327,0,4,happy
Can I Get It,30,Adele,6w8ZPYdnGajyfPddTWdthN,2021-11-19,70,210384,0.703,0.0171,0.68,0.0,0.178,0.536,-6.118,0.0431,97.985,9,4,happy
How Bizarre,How Bizarre,OMC,6RT3PxDEQOa7m6tK502DNa,1996,0,224053,0.784,0.261,0.675,1.4e-06,0.293,0.854,-7.718,0.049,124.908,0,4,happy
